1772716761,0203000AFFFF0008295C7B4048E17A3D000A0300
1772716761,02020007FFFF0010295C7B4048E17A3D000A03000700D9FF00003041
1772716761,02010003FFFF0010295C7B4048E17A3D000A03000300DBFF00005841
1772716761,02010005FFFF0010295C7B4048E17A3D000A03000500D9FF00002441
1772716762,02030009FFFF00081F857B400000803D00090300
1772716762,02020006FFFF00101F857B400000803D000903000600DBFF00005441
1772716763,02020008000500101F857B400000803D000903000800D9FF00005841
1772716763,02010001FFFF00101F857B400000803D000903000100C0FF00005441
1772716763,02020007000400101F857B400000803D000903000700D9FF00002041
1772716763,02010003FFFF00101F857B400000803D000903000300C9FF00002041
1772716764,02020008000500081F8580408FC2753D00080200
1772716766,02010005FFFF00101F8580408FC2753D000802000500E5FF00002441
1772716766,0202000700040008B81E79408FC2753D00070200
1772716768,02010004FFFF0010B81E79408FC2753D000702000400E2FF00002841
1772716768,0202000600030008333380408FC2753D00060200
1772716770,02010003FFFF0010333380408FC2753D000602000300E4FF00005441
1772716770,02010005FFFF0008E17A804048E17A3D00050100
1772716772,02010004FFFF0008D7A380408FC2753D00040100
1772716774,02010003FFFF00083D0A7D4048E17A3D00030100
1772716778,02010001FFFF0008295C8340D7A3703D00010100
1772716781,0203000A00070008295C7B4048E17A3D000A0301
1772716782,0202000700030010295C7B4048E17A3D000A03010700DAFF00003041
1772716783,0203000900070008A4707B400000803D00090301
1772716783,02010003FFFF0018295C7B4048E17A3D000A03010700DAFF000030410300DDFF00005841
1772716785,02020008000400081F8580408FC2753D00080201
1772716786,02010004FFFF00101F8580408FC2753D000802010400E3FF00005841
1772716787,02020007000300083D0A79408FC2753D00070201
1772716788,02010003FFFF00103D0A79408FC2753D000702010300DCFF00005841
1772716789,0202000600040008F62880408FC2753D00060201
1772716790,02010004FFFF0010F62880408FC2753D000602010400E1FF00005041
1772716791,02010005FFFF0008E17A804048E17A3D00050101
1772716793,02010004FFFF0008D7A380408FC2753D00040101
1772716795,02010003FFFF00083D0A7D4048E17A3D00030101
1772716799,02010001FFFF000833338340D7A3703D00010101
1772716801,0203000A00060008AE477B4048E17A3D000A0302
1772716802,0202000600050010AE477B4048E17A3D000A03020600E5FF00005841
1772716803,0203000900070008295C7B400000803D00090302
1772716805,02020008000400081F8580408FC2753D00080202
1772716806,02010004FFFF00101F8580408FC2753D000802020400E4FF00005041
1772716807,0202000700010008C3F578408FC2753D00070202
1772716808,02010001FFFF0010C3F578408FC2753D000702020100CEFF00006841
1772716809,0202000600030008F62880408FC2753D00060202
1772716810,02010003FFFF0010F62880408FC2753D000602020300E4FF00005441
1772716811,02010005FFFF0008A470804048E17A3D00050102
1772716813,02010004FFFF0008D7A380408FC2753D00040102
1772716815,02010003FFFF0008C3F57C4048E17A3D00030102
1772716819,02010001FFFF00087B148340D7A3703D00010102
1772716821,0203000A00070008AE477B4048E17A3D000A0303
1772716823,0202000700010010AE477B4048E17A3D000A03030700DAFF00002C41
1772716823,0203000900060008AE477B400000803D00090303
1772716823,02010001FFFF0018AE477B4048E17A3D000A03030700DAFF00002C410100CEFF00006041
1772716825,0202000600040010AE477B400000803D000903030600DCFF00005441
1772716825,02010004FFFF0018AE477B400000803D000903030600DCFF000054410400DFFF00003C41
1772716827,02010003FFFF00101F8580408FC2753D000802030300E0FF00001040
1772716827,0202000700040008C3F578408FC2753D00070203
1772716829,02010004FFFF0010C3F578408FC2753D000702030400E2FF00002441
1772716829,0202000600040008B81E80408FC2753D00060203
1772716831,02010004FFFF0010B81E80408FC2753D000602030400E8FF00004041
1772716831,02010005FFFF0008A470804048E17A3D00050103
1772716831,02010005FFFF0008A470804048E17A3D00050103
1772716833,02010004FFFF00089A9980408FC2753D00040103
